Address,Type,Time,Tx_id,BTC value,New_column
bc1q9m5uvcvrm8eac8c62x8zf752uckaa27pglllrr,Sent,08/04/2024,ca19087a953281621ec315c9b2502a367910a611cb4733725cde3bf26340f960,15318.99669,
bc1q9m5uvcvrm8eac8c62x8zf752uckaa27pglllrr,Received,08/04/2024,4336260123a238463b285748a02c99d99f76a57f71ea89c4e0c6d5b6f20fe10c,15318.99669,
bc1qu99nlc5zmj5e2cg7kxldkm647ah4u46n5v7en2,Received,08/04/2024,ca19087a953281621ec315c9b2502a367910a611cb4733725cde3bf26340f960,14318.99664,
bc1qwwls0kmfmaw6kjvzfd73c9rnva2ummln8z98p4,Sent,08/04/2024,90632e1c9e861a6488541f6e3db76ff02b1151cae4d912de0332b79bd2ba50ed,16320.04041,
bc1q3p7wcvltfqz9qff39nluy6xyzgxw3lzfd9s4ne,Sent,08/04/2024,bbfadd645895b600b94352c98cf647d94bc15d46b295c03c55ed8860ea68fadb,16318.99786,
bc1q3p7wcvltfqz9qff39nluy6xyzgxw3lzfd9s4ne,Received,08/04/2024,90632e1c9e861a6488541f6e3db76ff02b1151cae4d912de0332b79bd2ba50ed,16318.99786,
bc1q9qea5xqcr8ln2ywwxljcga6czee2m6qa9qyczs,Received,08/04/2024,bbfadd645895b600b94352c98cf647d94bc15d46b295c03c55ed8860ea68fadb,16318.9973,
bc1q9qea5xqcr8ln2ywwxljcga6czee2m6qa9qyczs,Sent,08/04/2024,353046a27c7a230aa793ef509f4b6547b95fa6e41c1fbb1ae805e7546e0b1612,16318.9973,
bc1q4jd898h3nv8xlwgzw39hpy6s2n44d4y8qa4s6a,Received,08/04/2024,353046a27c7a230aa793ef509f4b6547b95fa6e41c1fbb1ae805e7546e0b1612,16318.99674,
bc1q2xm5etczkwzh9pax8gq66ee6e49w06q7xpdu6a,Sent,08/04/2024,9714cf89699881af11da33caf3a2fc66dc6931f1d5a111a389f89459a78ab840,15715.38665,
bc1qz94xdnhhsdrlfpvpnyy8rc2sseyf2zz8dh7z39,Received,08/04/2024,9714cf89699881af11da33caf3a2fc66dc6931f1d5a111a389f89459a78ab840,15615.38658,
bc1qa87h3yv648nmngfjplskkcq238q7xz4g00575r,Sent,07/04/2024,48cd9adc195236ad3bc13e29b5f7a7ec9768331cf1ea615c104f2b6a111d94f4,15745.38665,
bc1q2xm5etczkwzh9pax8gq66ee6e49w06q7xpdu6a,Received,07/04/2024,48cd9adc195236ad3bc13e29b5f7a7ec9768331cf1ea615c104f2b6a111d94f4,15715.38658,
bc1q3qx9xjsyfs33ztz2nkk0jh8fgw2u5fhhy9489p,Sent,06/04/2024,d55bc6a5323cd96158246626b4f754d36de2f73aeb9cb1b20e9e87964451629f,5697.193408,
