date,total_volume
2023-12-31,8888.88888888
2023-12-31,8888.88992088
2023-12-31,8921.90293
2023-12-31,8921.904412
2023-12-31,9192.131
2023-12-31,9192.145079
2023-12-31,9500
2023-12-31,9500.00179
2023-12-31,9500.010572
2023-12-31,14510.72373026
2023-12-31,14545.73660248
2024-01-01,14495.73483368
