date,price,forecasted_price
2023-07-15,30319.08,33528.717565859861544760
2023-07-16,30303.88,33543.796449570635874760
2023-07-17,30191.42,33558.875333281410204760
2023-07-18,29959.88,33573.954216992184534760
2023-07-19,29984.21,33589.033100702958864760
2023-07-20,29993.29,33604.111984413733194760
2023-07-21,29859.25,33619.190868124507524760
2023-07-22,29881.79,33634.269751835281854760
2023-07-23,29946.63,33649.348635546056184760
2023-07-24,29431.18,33664.427519256830514760
2023-07-25,29174.75,33679.506402967604844760
2023-07-26,29277.71,33694.585286678379174760
2023-07-28,29261.50,33709.664170389153504760
2023-07-29,29330.29,33724.743054099927834760
2023-07-30,29306.50,33739.821937810702164760
2023-07-31,29326.79,33754.900821521476494760
2023-08-01,29006.88,33769.979705232250824760
2023-08-02,29429.96,33785.058588943025154760
2023-08-03,29161.38,33800.137472653799484760
2023-08-05,29031.75,33815.216356364573814760
2023-08-06,29038.58,33830.295240075348144760
2023-08-07,29050.08,33845.374123786122474760
2023-08-08,29436.58,33860.453007496896804760
2023-08-09,29701.67,33875.531891207671134760
2023-08-10,29488.67,33890.610774918445464760
2023-08-11,29388.75,33905.689658629219794760
2023-08-13,29377.71,33920.768542339994124760
2023-08-14,29373.33,33935.847426050768454760
2023-08-15,29316.46,33950.926309761542784760
2023-08-16,29102.42,33966.005193472317114760
2023-08-17,28196.50,33981.084077183091444760
2023-08-18,26295.96,33996.162960893865774760
2023-08-19,25995.58,34011.241844604640104760
2023-08-20,26121.96,34026.320728315414434760
2023-08-21,26064.67,34041.399612026188764760
2023-08-22,25980.33,34056.478495736963094760
2023-08-23,26169.17,34071.557379447737424760
2023-08-24,26287.58,34086.636263158511754760
2023-08-25,26048.88,34101.715146869286084760
2023-08-26,26031.96,34116.794030580060414760
2023-08-27,26059.83,34131.872914290834744760
2023-08-28,26025.38,34146.951798001609074760
2023-08-29,26682.83,34162.030681712383404760
2023-08-30,27356.29,34177.109565423157734760
2023-08-31,26885.63,34192.188449133932064760
2023-09-01,25898.67,34207.267332844706394760
2023-09-02,25822.04,34222.346216555480724760
2023-09-03,25912.67,34237.425100266255054760
2023-09-04,25891.42,34252.503983977029384760
2023-09-05,25732.29,34267.582867687803714760
2023-09-07,25824.25,34282.661751398578044760
2023-09-08,26014.88,34297.740635109352374760
2023-09-09,25866.54,34312.819518820126704760
2023-09-10,25820.42,34327.898402530901034760
2023-09-11,25497.04,34342.977286241675364760
2023-09-12,25868.58,34358.056169952449694760
2023-09-13,26083.88,34373.135053663224024760
2023-09-14,26435.38,34388.213937373998354760
2023-09-15,26502.17,34403.292821084772684760
2023-09-16,26556.79,34418.371704795547014760
2023-09-17,26529.83,34433.450588506321344760
2023-09-18,26853.46,34448.529472217095674760
2023-09-19,27044.17,34463.608355927870004760
2023-09-20,27131.33,34478.687239638644334760
2023-09-21,26778.04,34493.766123349418664760
2023-09-22,26610.26,34508.845007060192994760
2023-09-23,26574.17,34523.923890770967324760
2023-09-24,26552.50,34539.002774481741654760
2023-09-25,26195.54,34554.081658192515984760
